"Sepsis (non-obstetric)","Acute resp infect incl pneumonia","HIV/AIDS related death","Diarrhoeal diseases","Malaria","Measles","Meningitis and encephalitis","Tetanus","Pulmonary tuberculosis","Pertussis","Haemorrhagic fever","Other and unspecified infect dis","Oral neoplasms","Digestive neoplasms","Respiratory neoplasms","Breast neoplasms","Reproductive neoplasms MF","Other and unspecified neoplasms","Severe anaemia","Severe malnutrition","Diabetes mellitus","Acute cardiac disease","Sickle cell with crisis","Stroke","Other and unspecified cardiac dis","Chronic obstructive pulmonary dis","Asthma","Acute abdomen","Liver cirrhosis","Renal failure","Epilepsy","Other and unspecified NCD","Congenital malformation","Prematurity","Birth asphyxia","Neonatal pneumonia","Neonatal sepsis","Other and unspecified neonatal CoD","Fresh stillbirth","Macerated stillbirth","Road traffic accident","Other transport accident","Accid fall","Accid drowning and submersion","Accid expos to smoke fire & flame","Contact with venomous plant/animal","Exposure to force of nature","Accid poisoning & noxious subs","Intentional self-harm","Assault","Other and unspecified external CoD","Ectopic pregnancy","Abortion-related death","Pregnancy-induced hypertension","Obstetric haemorrhage","Obstructed labour","Pregnancy-related sepsis","Anaemia of pregnancy","Ruptured uterus","Other and unspecified maternal CoD"
"D","D","C","C","D","D","D","D","D","D","A","D","B","B","D","D","D","C","C","C","D","D","C","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","C","C","C","D","D","C","C","D","C","C","C","D","D","C","D","D","D","D","D","D"
"D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","A","D","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C","B","D","D","D","C","D","D","D"
"C","C","C","C","C","C","C","C","C","C","C","C","C","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","N"
"C","C","C","C","C","C","C","C","C","C","C+","C","C","D","D","C","A+","C","B","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","N"
"C","C","C","C","C","C","C","C","C","C","C","C","B","A","C","C","C","B","C","C","C","C","C","A","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","B","B","B","B","B","B","B","B","B","A-","B","B","B","B","N","N","N","N","N","N","N","N","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","D","E","E","N","N","N","N","N","N","N"
"N","C-","C","C-","B-","C-","C-","C-","C-","D","C-","C","C","C","C","C","C","C","N","C","B","C+","B-","C","C","C-","C-","D","C","C","C","C","N","N","N","N","N","N","N","N","C-","C-","C-","C-","C-","C-","C-","C-","C-","C","D","A-","C","A-","A-","A-","C","A-","A-","A-"
"N","C-","C-","C-","B-","C-","C-","C-","C-","D-","C-","C","C","C","C","C","C","C","N","C-","B","C+","B-","C-","C","C-","C-","D","C","C-","C-","C","N","N","N","N","N","N","N","N","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","D","N","N","D","A-","B","B","A","C","A-"
"N","D","D","D","D","D","D","C","D","D-","C-","C","C","C","C","C","C","C","N","D","D","D","D","D","C","D","D","D","D","D","D","C","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","A","A","D","C","N","B","C","N","A-"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","C","D","D","C","C","C","C","C","C","C+","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","B+","A-","B+","B","A","B+","B","C","B"
