"Sepsis (non-obstetric)","Acute resp infect incl pneumonia","HIV/AIDS related death","Diarrhoeal diseases","Malaria","Measles","Meningitis and encephalitis","Tetanus","Pulmonary tuberculosis","Pertussis","Haemorrhagic fever","Other and unspecified infect dis","Oral neoplasms","Digestive neoplasms","Respiratory neoplasms","Breast neoplasms","Reproductive neoplasms MF","Other and unspecified neoplasms","Severe anaemia","Severe malnutrition","Diabetes mellitus","Acute cardiac disease","Sickle cell with crisis","Stroke","Other and unspecified cardiac dis","Chronic obstructive pulmonary dis","Asthma","Acute abdomen","Liver cirrhosis","Renal failure","Epilepsy","Other and unspecified NCD","Congenital malformation","Prematurity","Birth asphyxia","Neonatal pneumonia","Neonatal sepsis","Other and unspecified neonatal CoD","Fresh stillbirth","Macerated stillbirth","Road traffic accident","Other transport accident","Accid fall","Accid drowning and submersion","Accid expos to smoke fire & flame","Contact with venomous plant/animal","Exposure to force of nature","Accid poisoning & noxious subs","Intentional self-harm","Assault","Other and unspecified external CoD","Ectopic pregnancy","Abortion-related death","Pregnancy-induced hypertension","Obstetric haemorrhage","Obstructed labour","Pregnancy-related sepsis","Anaemia of pregnancy","Ruptured uterus","Other and unspecified maternal CoD"
"N","N","N","D","N","N","D","E","N","N","N","E","N","N","N","N","N","N","N","D","N","D","D","E","D","N","E","D","D","D","D","E","E","D","E","E","E","E","D","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","D","D","C","D","E","E","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","E","D","D","D","E","E","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","E","N","N","N","E","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","D","D","D","D","D","D","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","E","N","N","N","E","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","D","D","D","D","D","D","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","E","N","N","N","E","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","D","D","E","E","D","E","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","E","N","N","N","B","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","D","B","A","D","E","C","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","E","N","N","N","E","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","D","D","D","D","D","E","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","E","N","N","N","E","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","D","D","D","D","E","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","E","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","D","C","C","D","E","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","E","N","N","N","E","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","E","E","E","E","D","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","D","D","D","D","D","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","N","N","C","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","D","C","C","D","D","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","E","D","D","D","D","E","D","E","D","D","D","E","D","D","E","E","E","E","E","E","E","E","N","E","E","N","N","N","N","N","N","N","N","N"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","I","I","I","I","I","I","I","I","I","I","I","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","I","D","C","C","C","N","N","N","C","C","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","D","I","D","D","D","N","N","N","C","D","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","C","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","N","N","I","C","C+","N","N","N","C","D","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","N","N","N","I","N","N","D","N","C","D","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","D+","D+","N","N","I","D+","N","N","N","D+","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","N","D-","D-","N","N","N","N","I","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","N","N","N","N","N","I","N","N","N","N","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","N","N","N","N","N","N","I","N","N","N","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","N","N","N","N","N","N","N","I","A","N","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","N","N","N","N","N","N","N","N","I","N","E","E","E","E","E","E","E","E","E"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","I","N","N","E","E","N","N","N","N","N","N","N"
"B+","B+","C","C","C","C","C","C","B+","D","C","B","A","A","B-","B","B-","B","C","C","B","B+","C-","B","B+","C","C","A-","A-","C","C","B","N","N","N","N","N","N","N","N","B+","B","B","B+","B","B","B","A-","B+","B+","A-","C","C","C","C","C","C","C","C","C"
"B+","B+","C","C","C","C","C","C","B+","D","C","B","B","B+","A","B","B+","B+","C","C","C","A-","C-","B+","A-","A+","C","C","C","C","C","B","N","N","N","N","N","N","N","N","B","B","B","B","B","B","B","B","B","B","B","C","C","C","C","C","C","C","C","C"
"C","C","C+","C","C","C-","C","C","C","C","C","D","C","C","C","C","C","D","C","C","C","C","C","C","B","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","A-","A-","A-","A-","A-","A-","A-","A-","A-"
"B","B","A","A-","A","C","B","C","B-","D","A","A-","A","A","A","A","A","A","A","A-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","N","N","A","A","A","A","A","A","A","A","A","A","A","D","D","D","D","D","D","D","D","D"
"A","A","A","B","B","B","B","B","B","B","B","B","A","A","A","A","A","A","B","B","A","B","A","B","A","A","A","A","A","A","B","A","A","B","B","B","B","B","N","N","C","C","C","C","C","C","C","C","C","C","C","B","C","B","B","B","B","B","B","B"
"C","C","B","A","B","C","C","C","C","C","B","C","D","D","D","D","D","D","D","B","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"B","B","B","B","B","B","B","B","B","B","A","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","D","D","B","B","B","N","N","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"C","C","C","C","B","C","C","C","C","D","A","C","C","C","C","C","C","B","A","C","C","C","B+","C","C","C","C","C","C","C","C","C","N","N","N","C","C","N","N","N","B","C","C","C","C","C","C","C","C","C","B","A","A","B-","I","B+","B","I","A+","C"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","A","B","B","B","A","B","B","B","B","B","B","B","B","B","B","B","B","B","B","N","N","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"B","B","B","C","C","C","A","C","C","A","C","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C+","C","B","C","C","N","N","N","C","C","N","N","N","B","C","C","C","C","C","C","C","C","C","B","A+","A","B+","B+","A","I","B+","A","A-"
"D","D","C-","D","D","D","D","D","D","N","D","D","B+","B+","B+","B+","B+","B+","C-","C-","C-","C-","C-","C-","C-","C-","C-","B","C-","C-","C","C-","C","N","N","N","N","N","N","N","B","C-","C-","C-","C-","C-","C-","C-","C-","C-","B-","B","B","C","B","B","D","D","B+","D"
"D","D","D","D","D","D","D","D","D","D","D","D","B","B","B","B","B","B","C-","C-","C-","C-","C-","C-","C","C-","C-","B","C-","C-","C-","C-","C-","N","N","N","N","N","N","N","B","C-","C-","C-","C-","C-","C-","C-","C-","C-","C","B","B","C","B","B","D","D","B+",""
"C+","C+","A","C+","C-","C+","D","C+","C+","N","C+","C-","B+","B+","B+","B+","B+","B+","C+","C+","C+","C+","C+","B-","C+","B","D-","C+","A-","C+","B+","C+","C+","D","N","N","N","N","N","N","C+","C+","C+","C+","C+","C+","C+","C+","C+","C+","C+","C","C","C","C","C","C","C","C","C"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
